[2026-08-28 20:00:28] CORPUS TOTAL: 1735/2020 (85.9%) | CLASSES 1-5: 196 (34 c1, 37 c2, 42 c3, 39 c4, 44 c5) | RATE: +1735 in 30s
[2026-08-28 20:00:58] CORPUS TOTAL: 1737/2020 (86.0%) | CLASSES 1-5: 198 (34 c1, 38 c2, 42 c3, 40 c4, 44 c5) | RATE: +2 in 30s
[2026-08-28 20:01:28] CORPUS TOTAL: 1737/2020 (86.0%) | CLASSES 1-5: 198 (34 c1, 38 c2, 42 c3, 40 c4, 44 c5) | RATE: +0 in 30s
[2026-08-28 20:01:58] CORPUS TOTAL: 1737/2020 (86.0%) | CLASSES 1-5: 198 (34 c1, 38 c2, 42 c3, 40 c4, 44 c5) | RATE: +0 in 30s
[2026-08-28 20:02:29] CORPUS TOTAL: 1738/2020 (86.0%) | CLASSES 1-5: 199 (34 c1, 38 c2, 42 c3, 40 c4, 45 c5) | RATE: +1 in 30s
[2026-08-28 20:02:59] CORPUS TOTAL: 1739/2020 (86.1%) | CLASSES 1-5: 200 (34 c1, 38 c2, 42 c3, 40 c4, 46 c5) | RATE: +1 in 30s
[2026-08-28 20:03:29] CORPUS TOTAL: 1741/2020 (86.2%) | CLASSES 1-5: 202 (36 c1, 38 c2, 42 c3, 40 c4, 46 c5) | RATE: +2 in 30s
[2026-08-28 20:03:59] CORPUS TOTAL: 1742/2020 (86.2%) | CLASSES 1-5: 203 (37 c1, 38 c2, 42 c3, 40 c4, 46 c5) | RATE: +1 in 30s
[2026-08-28 20:04:31] CORPUS TOTAL: 1743/2020 (86.3%) | CLASSES 1-5: 204 (37 c1, 39 c2, 42 c3, 40 c4, 46 c5) | RATE: +1 in 30s
[2026-08-28 20:05:02] CORPUS TOTAL: 1746/2020 (86.4%) | CLASSES 1-5: 207 (37 c1, 40 c2, 43 c3, 41 c4, 46 c5) | RATE: +3 in 30s
[2026-08-28 20:05:33] CORPUS TOTAL: 1747/2020 (86.5%) | CLASSES 1-5: 208 (37 c1, 41 c2, 43 c3, 41 c4, 46 c5) | RATE: +1 in 30s
[2026-08-28 20:06:03] CORPUS TOTAL: 1748/2020 (86.5%) | CLASSES 1-5: 209 (37 c1, 41 c2, 44 c3, 41 c4, 46 c5) | RATE: +1 in 30s
[2026-08-28 20:06:33] CORPUS TOTAL: 1750/2020 (86.6%) | CLASSES 1-5: 211 (37 c1, 41 c2, 45 c3, 42 c4, 46 c5) | RATE: +2 in 30s
[2026-08-28 20:07:04] CORPUS TOTAL: 1750/2020 (86.6%) | CLASSES 1-5: 211 (37 c1, 41 c2, 45 c3, 42 c4, 46 c5) | RATE: +0 in 30s
[2026-08-28 20:07:34] CORPUS TOTAL: 1752/2020 (86.7%) | CLASSES 1-5: 213 (38 c1, 41 c2, 45 c3, 43 c4, 46 c5) | RATE: +2 in 30s
[2026-08-28 20:08:04] CORPUS TOTAL: 1754/2020 (86.8%) | CLASSES 1-5: 215 (38 c1, 42 c2, 45 c3, 43 c4, 47 c5) | RATE: +2 in 30s
[2026-08-28 20:08:35] CORPUS TOTAL: 1756/2020 (86.9%) | CLASSES 1-5: 217 (40 c1, 42 c2, 45 c3, 43 c4, 47 c5) | RATE: +2 in 30s
[2026-08-28 20:09:05] CORPUS TOTAL: 1757/2020 (87.0%) | CLASSES 1-5: 218 (40 c1, 42 c2, 46 c3, 43 c4, 47 c5) | RATE: +1 in 30s
[2026-08-28 20:09:35] CORPUS TOTAL: 1761/2020 (87.2%) | CLASSES 1-5: 222 (42 c1, 42 c2, 47 c3, 43 c4, 48 c5) | RATE: +4 in 30s
[2026-08-28 20:10:05] CORPUS TOTAL: 1761/2020 (87.2%) | CLASSES 1-5: 222 (42 c1, 42 c2, 47 c3, 43 c4, 48 c5) | RATE: +0 in 30s
[2026-08-28 20:10:36] CORPUS TOTAL: 1761/2020 (87.2%) | CLASSES 1-5: 222 (42 c1, 42 c2, 47 c3, 43 c4, 48 c5) | RATE: +0 in 30s
[2026-08-28 20:11:06] CORPUS TOTAL: 1763/2020 (87.3%) | CLASSES 1-5: 224 (43 c1, 43 c2, 47 c3, 43 c4, 48 c5) | RATE: +2 in 30s
[2026-08-28 20:11:36] CORPUS TOTAL: 1766/2020 (87.4%) | CLASSES 1-5: 227 (43 c1, 44 c2, 47 c3, 43 c4, 50 c5) | RATE: +3 in 30s
[2026-08-28 20:12:06] CORPUS TOTAL: 1766/2020 (87.4%) | CLASSES 1-5: 227 (43 c1, 44 c2, 47 c3, 43 c4, 50 c5) | RATE: +0 in 30s
[2026-08-28 20:12:37] CORPUS TOTAL: 1767/2020 (87.5%) | CLASSES 1-5: 228 (44 c1, 44 c2, 47 c3, 43 c4, 50 c5) | RATE: +1 in 30s
[2026-08-28 20:13:07] CORPUS TOTAL: 1770/2020 (87.6%) | CLASSES 1-5: 231 (45 c1, 45 c2, 48 c3, 43 c4, 50 c5) | RATE: +3 in 30s
[2026-08-28 20:13:37] CORPUS TOTAL: 1771/2020 (87.7%) | CLASSES 1-5: 232 (45 c1, 46 c2, 48 c3, 43 c4, 50 c5) | RATE: +1 in 30s
[2026-08-28 20:14:07] CORPUS TOTAL: 1772/2020 (87.7%) | CLASSES 1-5: 233 (45 c1, 46 c2, 48 c3, 44 c4, 50 c5) | RATE: +1 in 30s
[2026-08-28 20:14:37] CORPUS TOTAL: 1773/2020 (87.8%) | CLASSES 1-5: 234 (45 c1, 46 c2, 48 c3, 44 c4, 51 c5) | RATE: +1 in 30s
[2026-08-28 20:15:08] CORPUS TOTAL: 1777/2020 (88.0%) | CLASSES 1-5: 238 (45 c1, 46 c2, 50 c3, 45 c4, 52 c5) | RATE: +4 in 30s
[2026-08-28 20:15:38] CORPUS TOTAL: 1778/2020 (88.0%) | CLASSES 1-5: 239 (45 c1, 46 c2, 50 c3, 45 c4, 53 c5) | RATE: +1 in 30s
[2026-08-28 20:16:09] CORPUS TOTAL: 1780/2020 (88.1%) | CLASSES 1-5: 241 (46 c1, 46 c2, 50 c3, 46 c4, 53 c5) | RATE: +2 in 30s
[2026-08-28 20:16:39] CORPUS TOTAL: 1781/2020 (88.2%) | CLASSES 1-5: 242 (46 c1, 46 c2, 50 c3, 47 c4, 53 c5) | RATE: +1 in 30s
[2026-08-28 20:17:09] CORPUS TOTAL: 1782/2020 (88.2%) | CLASSES 1-5: 243 (46 c1, 47 c2, 50 c3, 47 c4, 53 c5) | RATE: +1 in 30s
[2026-08-28 20:17:39] CORPUS TOTAL: 1783/2020 (88.3%) | CLASSES 1-5: 244 (46 c1, 47 c2, 50 c3, 48 c4, 53 c5) | RATE: +1 in 30s
[2026-08-28 20:18:09] CORPUS TOTAL: 1784/2020 (88.3%) | CLASSES 1-5: 245 (46 c1, 47 c2, 50 c3, 48 c4, 54 c5) | RATE: +1 in 30s
[2026-08-28 20:18:39] CORPUS TOTAL: 1786/2020 (88.4%) | CLASSES 1-5: 247 (46 c1, 48 c2, 50 c3, 48 c4, 55 c5) | RATE: +2 in 30s
[2026-08-28 20:19:10] CORPUS TOTAL: 1788/2020 (88.5%) | CLASSES 1-5: 249 (46 c1, 48 c2, 51 c3, 48 c4, 56 c5) | RATE: +2 in 30s
[2026-08-28 20:19:40] CORPUS TOTAL: 1791/2020 (88.7%) | CLASSES 1-5: 252 (48 c1, 49 c2, 51 c3, 48 c4, 56 c5) | RATE: +3 in 30s
[2026-08-28 20:20:10] CORPUS TOTAL: 1791/2020 (88.7%) | CLASSES 1-5: 252 (48 c1, 49 c2, 51 c3, 48 c4, 56 c5) | RATE: +0 in 30s
[2026-08-28 20:20:40] CORPUS TOTAL: 1792/2020 (88.7%) | CLASSES 1-5: 253 (48 c1, 50 c2, 51 c3, 48 c4, 56 c5) | RATE: +1 in 30s
[2026-08-28 20:21:10] CORPUS TOTAL: 1793/2020 (88.8%) | CLASSES 1-5: 254 (48 c1, 51 c2, 51 c3, 48 c4, 56 c5) | RATE: +1 in 30s
[2026-08-28 20:21:40] CORPUS TOTAL: 1796/2020 (88.9%) | CLASSES 1-5: 257 (49 c1, 51 c2, 52 c3, 49 c4, 56 c5) | RATE: +3 in 30s
[2026-08-28 20:22:11] CORPUS TOTAL: 1796/2020 (88.9%) | CLASSES 1-5: 257 (49 c1, 51 c2, 52 c3, 49 c4, 56 c5) | RATE: +0 in 30s
[2026-08-28 20:22:41] CORPUS TOTAL: 1799/2020 (89.1%) | CLASSES 1-5: 260 (49 c1, 52 c2, 53 c3, 50 c4, 56 c5) | RATE: +3 in 30s
[2026-08-28 20:23:11] CORPUS TOTAL: 1801/2020 (89.2%) | CLASSES 1-5: 262 (49 c1, 52 c2, 53 c3, 51 c4, 57 c5) | RATE: +2 in 30s
[2026-08-28 20:23:41] CORPUS TOTAL: 1801/2020 (89.2%) | CLASSES 1-5: 262 (49 c1, 52 c2, 53 c3, 51 c4, 57 c5) | RATE: +0 in 30s
[2026-08-28 20:24:11] CORPUS TOTAL: 1804/2020 (89.3%) | CLASSES 1-5: 265 (51 c1, 52 c2, 53 c3, 51 c4, 58 c5) | RATE: +3 in 30s
[2026-08-28 20:24:41] CORPUS TOTAL: 1809/2020 (89.6%) | CLASSES 1-5: 270 (51 c1, 53 c2, 55 c3, 52 c4, 59 c5) | RATE: +5 in 30s
[2026-08-28 20:25:12] CORPUS TOTAL: 1811/2020 (89.7%) | CLASSES 1-5: 272 (51 c1, 54 c2, 55 c3, 53 c4, 59 c5) | RATE: +2 in 30s
[2026-08-28 20:25:42] CORPUS TOTAL: 1814/2020 (89.8%) | CLASSES 1-5: 275 (53 c1, 54 c2, 55 c3, 54 c4, 59 c5) | RATE: +3 in 30s
[2026-08-28 20:26:12] CORPUS TOTAL: 1814/2020 (89.8%) | CLASSES 1-5: 275 (53 c1, 54 c2, 55 c3, 54 c4, 59 c5) | RATE: +0 in 30s
[2026-08-28 20:26:42] CORPUS TOTAL: 1818/2020 (90.0%) | CLASSES 1-5: 279 (53 c1, 57 c2, 56 c3, 54 c4, 59 c5) | RATE: +4 in 30s
[2026-08-28 20:27:12] CORPUS TOTAL: 1819/2020 (90.0%) | CLASSES 1-5: 280 (53 c1, 57 c2, 56 c3, 54 c4, 60 c5) | RATE: +1 in 30s
[2026-08-28 20:27:42] CORPUS TOTAL: 1819/2020 (90.0%) | CLASSES 1-5: 280 (53 c1, 57 c2, 56 c3, 54 c4, 60 c5) | RATE: +0 in 30s
[2026-08-28 20:28:13] CORPUS TOTAL: 1820/2020 (90.1%) | CLASSES 1-5: 281 (53 c1, 57 c2, 57 c3, 54 c4, 60 c5) | RATE: +1 in 30s
[2026-08-28 20:28:43] CORPUS TOTAL: 1821/2020 (90.1%) | CLASSES 1-5: 282 (54 c1, 57 c2, 57 c3, 54 c4, 60 c5) | RATE: +1 in 30s
[2026-08-28 20:29:13] CORPUS TOTAL: 1822/2020 (90.2%) | CLASSES 1-5: 283 (54 c1, 58 c2, 57 c3, 54 c4, 60 c5) | RATE: +1 in 30s
